USA;2012;11;TRO0050;A111111;NA;111111;111111;28.50;0;0.00;USD;20120801
JPN;2012;11;0221;A072001;000;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;A072001;000;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;A072001;000;10000000;075;0.00;;0.00;JPY;20121107
JPN;2012;11;0231;A072001;000;10000000;205;0.00;;0.00;JPY;20121107
JPN;2012;11;0231;A072001;000;10000000;313;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A072001;000;10000000;084;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A072001;000;10000000;283;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A072001;000;10000000;317;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A072001;000;10000000;326;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A072001;000;10000000;345;0.00;;0.00;JPY;20121107
JPN;2012;11;0540;A072001;000;10000000;084;0.00;;0.00;JPY;20121107
JPN;2012;11;0540;A072001;000;10000000;283;0.00;;0.00;JPY;20121107
JPN;2012;11;0540;A072001;000;10000000;345;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;A100003;000;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;A100003;000;10000000;289;0.00;;0.00;JPY;20121107
JPN;2012;11;0223;A100003;000;10000000;007;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;A100003;000;10000000;0086;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;A100003;000;10000000;075;0.00;;0.00;JPY;20121107
JPN;2012;11;0231;A100003;000;10000000;313;0.00;;0.00;JPY;20121107
JPN;2012;11;0240;A100003;000;10000000;0059;0.00;;0.00;JPY;20121107
JPN;2012;11;0240;A100003;000;10000000;221;0.00;;0.00;JPY;20121107
JPN;2012;11;0540;A100003;000;10000000;084;0.00;;0.00;JPY;20121107
JPN;2012;11;0540;A100004;000;10000000;084;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;A100043;000;10000000;075;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A120500;000;10000000;084;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A120500;000;10000000;283;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A121070;000;10000000;084;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;A121070;000;10000000;283;0.00;;0.00;JPY;20121107
BRA;2012;11;CUR6600;C001061;700;10000000;301149;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6000;C010561;700;10000000;357;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C010561;700;10000000;301.221;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C010561;700;10000000;356;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C010561;700;10000000;6158;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6500;C010561;700;10000000;301154;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C010561;700;10000000;301.237;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C010561;700;10000000;301149;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C010642;700;10000000;301149;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C010643;700;10000000;301149;0.00;;0.00;BRL;20121107
