FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;3;H  ;0;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;5;H  ;448;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;4;H  ;358.4;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;3;H  ;;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;2.5;H  ;224;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;1;H  ;89.6;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;2;H  ;179.2;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;0.5;H  ;44.8;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;6;H  ;537.6;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;5;H  ;448;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;1;H  ;89.6;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;3;H  ;268.8;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;633775;4;H  ;358.4;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;634141;1;H  ;89.6;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;634141;2.5;H  ;224;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;4;H  ;358.4;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;2.5;H  ;224;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;7;H  ;627.2;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;8;H  ;716.8;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;4.5;H  ;403.2;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;3;H  ;268.8;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;7;H  ;627.2;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;2;H  ;179.2;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;1;H  ;89.6;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;4.5;H  ;403.2;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;635490;4.5;H  ;403.2;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;640993;3;H  ;268.8;EUR;20070727
FRA;2007;1;A61050    ;C040021   ;B01 ;43A61050  ;640993;2;H  ;179.2;EUR;20070727
FRA;2007;1;A71050    ;C041010   ;S13 ;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041010   ;S13 ;43A71050  ;631360;0.5;H  ;38.35;EUR;20070727
FRA;2007;1;A71050    ;C041010   ;S13 ;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;631200;1.5;H  ;115.05;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;-2;H  ;-153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;-2;H  ;-153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;-2;H  ;-153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;8;H  ;613.6;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;5;H  ;383.5;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;3;H  ;230.1;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;5;H  ;383.5;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050-2;688553;1.5;H  ;115.05;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050-2;688553;3;H  ;230.1;EUR;20070727
FRA;2007;1;A71050    ;C041190   ;531;43A71050-2;688553;3;H  ;230.1;EUR;20070727
