FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633742;4;H  ;358.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633742;8;H  ;716.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633742;2.25;H  ;201.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633742;0.75;H  ;;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633742;0.75;H  ;;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633742;0.25;H  ;22.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633742;1.25;H  ;112;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;4;H  ;358.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;2;H  ;179.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;4;H  ;0;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;1.25;H  ;112;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;1;H  ;89.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;1;H  ;89.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;8.25;H  ;739.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;7.5;H  ;672;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;4;H  ;358.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;6;H  ;537.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;8;H  ;716.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;9;H  ;806.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;10.5;H  ;940.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;10;H  ;896;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;10.75;H  ;963.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;6;H  ;537.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;8;H  ;716.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;4.5;H  ;403.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;5;H  ;448;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;8;H  ;716.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;7;H  ;627.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;4;H  ;358.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;633775;4;H  ;358.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;1;H  ;89.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;2.5;H  ;224;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;5;H  ;448;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;1;H  ;89.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;3.5;H  ;313.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;7;H  ;627.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;1.5;H  ;134.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;8;H  ;716.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634141;2;H  ;179.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634802;0.5;H  ;44.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634802;3.5;H  ;313.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634802;7;H  ;627.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;634802;7;H  ;627.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;1;H  ;89.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;6;H  ;537.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;4;H  ;358.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;4;H  ;358.4;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;3.5;H  ;313.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;0.5;H  ;44.8;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;4.5;H  ;403.2;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;635490;1;H  ;89.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;640993;1;H  ;89.6;EUR;20070727
FRA;2007;2;A61050    ;C040021   ;B01 ;43A61050  ;640993;2;H  ;179.2;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71730    ;C041010   ;531;43A71730  ;628463;6;H  ;240;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631200;3.5;H  ;268.45;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631200;2.5;H  ;191.75;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631200;1;H  ;76.7;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631360;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631360;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631360;5;H  ;383.5;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631797;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631797;1.5;H  ;115.05;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;631797;2.5;H  ;191.75;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;-2;H  ;-153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;-2;H  ;-153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050  ;635106;-2;H  ;-153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050-2;688549;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050-2;688549;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050-2;688553;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050-2;688553;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050-2;688553;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050-2;688553;7;H  ;536.9;EUR;20070727
FRA;2007;2;A71050    ;C041190   ;531;43A71050-2;688553;5;H  ;383.5;EUR;20070727
FRA;2007;2;A71730    ;C041190   ;531;43A71730  ;630455;8;H  ;320;EUR;20070727
FRA;2007;2;A71730    ;C041190   ;531;43A71730  ;630455;8;H  ;320;EUR;20070727
FRA;2007;2;A71730    ;C041190   ;531;43A71730  ;630455;8;H  ;320;EUR;20070727
FRA;2007;2;A71730    ;C041190   ;531;43A71730  ;630455;8;H  ;320;EUR;20070727
FRA;2007;2;A71730    ;C041190   ;531;43A71730  ;630455;8;H  ;320;EUR;20070727
